rank,name,link,symbol,feixiaohao,volume-usd,website,chat,date,exchangeNumber
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,https://www.feixiaohao.com/currencies/bitcoin/,17530900000.0,"https://bitcoin.org/ , https://bitcoin.com/",,2008-11-01,165
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,https://www.feixiaohao.com/currencies/ethereum/,7846080000.0,https://www.ethereum.org/,https://gitter.im/orgs/ethereum/rooms,2014-07-24,134
3,Ripple,https://coinmarketcap.com/currencies/ripple/,XRP,https://www.feixiaohao.com/currencies/ripple/,5373030000.0,https://ripple.com/,"https://t.me/Ripple , https://discord.gg/N4x7kPb",2011-04-18,44
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,https://www.feixiaohao.com/currencies/bitcoin-cash/,1534660000.0,https://www.bitcoincash.org/,,2017-07-24,96
5,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,https://www.feixiaohao.com/currencies/cardano/,1406240000.0,https://www.cardanohub.org/,https://chat.cardanohub.org/,2017-10-02,6
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,https://www.feixiaohao.com/currencies/litecoin/,1378110000.0,"https://litecoin.com , https://litecoin.org/",https://telegram.me/litecoin,2011-11-09,119
7,NEO,https://coinmarketcap.com/currencies/neo/,NEO,https://www.feixiaohao.com/currencies/neo/,1461190000.0,https://neo.org/,,2014-06-01,26
8,NEM,https://coinmarketcap.com/currencies/nem/,XEM,https://www.feixiaohao.com/currencies/nem/,187429000.0,http://nem.io,https://t.me/nemred,2015-04-01,19
9,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,https://www.feixiaohao.com/currencies/stellar/,441141000.0,https://www.stellar.org,http://slack.stellar.org/,2014-08-01,17
10,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,https://www.feixiaohao.com/currencies/iota/,235811000.0,https://iota.org/,https://slack.iota.org/,2017-07-23,6
11,Dash,https://coinmarketcap.com/currencies/dash/,DASH,https://www.feixiaohao.com/currencies/dash/,239511000.0,https://www.dash.org/,https://discord.gg/9z8zX5j,2014-01-18,57
12,EOS,https://coinmarketcap.com/currencies/eos/,EOS,https://www.feixiaohao.com/currencies/eos/,1456580000.0,https://eos.io/,https://t.me/joinchat/AAAAAEQbOeucnaMWN0A9dQ,2017-07-02,43
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,https://www.feixiaohao.com/currencies/monero/,247486000.0,http://www.monero.cc,https://telegram.me/bitmonero,2014-04-18,25
14,TRON,https://coinmarketcap.com/currencies/tron/,TRX,https://www.feixiaohao.com/currencies/tron/,654867000.0,https://tronlab.com/,,2017-09-14,17
15,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,https://www.feixiaohao.com/currencies/bitcoin-gold/,351492000.0,https://bitcoingold.org/,,2017-10-24,23
16,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,https://www.feixiaohao.com/currencies/ethereum-classic/,620842000.0,https://ethereumclassic.github.io/,https://discord.gg/HW4GckH,2015-11-01,49
17,ICON,https://coinmarketcap.com/currencies/icon/,ICX,https://www.feixiaohao.com/currencies/icon/,102292000.0,https://www.icon.foundation/,https://t.me/joinchat/Fqw4igkkVmYtj--ZVi-QcA,2017-10-28,6
18,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,https://www.feixiaohao.com/currencies/qtum/,909286000.0,https://qtum.org/,https://t.me/joinchat/D5oBaw29NeOdpw6qqqf2lw,2017-03-16,36
19,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,https://www.feixiaohao.com/currencies/lisk/,107835000.0,https://lisk.io/,,2016-05-04,19
20,RaiBlocks,https://coinmarketcap.com/currencies/raiblocks/,XRB,https://www.feixiaohao.com/currencies/raiblocks/,27058700.0,https://raiblocks.net/,https://discordapp.com/invite/JphbBas,,6
21,Tether,https://coinmarketcap.com/currencies/tether/,USDT,https://www.feixiaohao.com/currencies/tether/,5386000000.0,https://tether.to,,2014-11-26,32
22,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,https://www.feixiaohao.com/currencies/ardor/,4167650.0,https://www.ardorplatform.org/,,,3
