name,link,rating,ico_profile,team,vision,product,start,end
wepower,https://icobench.com/ico/wepower/,4.2,5,4.3,4.2,4,1-Feb-18,14-Feb-18
pocketinns,https://icobench.com/ico/pocketinns/,4,4.9,4,3.9,3.7,15-Jan-18,31-Jan-18
restart-energy,https://icobench.com/ico/restart-energy/,4.1,4.9,3.8,3.7,3.7,15-Jan-18,12-Feb-18
gilgamesh-platform,https://icobench.com/ico/gilgamesh-platform/,4.3,4.8,3.9,4.3,4.2,15-Jan-18,26-Mar-18
paypro,https://icobench.com/ico/paypro/,4.1,4.8,4.4,4,3.7,15-Jan-18,30-Jan-18
coinloan,https://icobench.com/ico/coinloan/,4.1,4.6,3.6,4.2,3.7,26-Nov-17,14-Feb-18
genieico,https://icobench.com/ico/genieico/,4,4.5,3.9,3.8,3.8,13-Nov-17,28-Feb-18
remme,https://icobench.com/ico/remme/,4.4,4.5,4.4,4.5,4.2,13-Feb-18,13-Mar-18
clearcoin,https://icobench.com/ico/clearcoin/,3.1,4.4,3.1,2.8,2.1,18-Nov-17,31-Mar-18
fire-lotto,https://icobench.com/ico/fire-lotto/,4.2,4.4,4.1,4.4,4.1,15-Jan-18,15-Feb-18
elementh,https://icobench.com/ico/elementh/,3.9,4.3,3.8,3.2,3.9,15-Jan-18,14-Feb-18
datawallet,https://icobench.com/ico/datawallet/,3.9,4.1,4.2,3.6,3.6,5-Feb-18,7-Mar-18
let-bet,https://icobench.com/ico/let-bet/,3.3,4.1,3,2.9,2.6,20-Jan-18,14-Feb-18
medicalchain,https://icobench.com/ico/medicalchain/,4.4,4.1,4.6,4.6,4,1-Feb-18,Unknown
sp8de,https://icobench.com/ico/sp8de/,4.2,4.1,3.7,4.8,4.5,8-Jan-18,11-Mar-18
bubbletone,https://icobench.com/ico/bubbletone/,4.2,4,4.8,4.6,3.5,20-Mar-18,20-May-18
nper,https://icobench.com/ico/nper/,3.6,4,3.7,3.8,3,19-Jan-18,31-Jan-18
blockhive,https://icobench.com/ico/blockhive/,3.9,3.9,4.6,4,3,26-Jan-18,9-Feb-18
gizer,https://icobench.com/ico/gizer/,4,5,3.9,3.8,3.7,Unknown,Unknown
modultrade,https://icobench.com/ico/modultrade/,4.4,5,4.5,4.2,4.1,28-Nov-17,27-Jan-18
savedroid,https://icobench.com/ico/savedroid/,4.1,5,4.5,3,2.5,12-Jan-18,9-Mar-18
scorum,https://icobench.com/ico/scorum/,4,5,4.1,4,3.6,14-Jan-18,11-Feb-18
dogezer,https://icobench.com/ico/dogezer/,3.7,4.9,3.2,3.6,3.6,15-Jan-18,15-Feb-18
ebcoin,https://icobench.com/ico/ebcoin/,4.1,4.9,4.2,3.7,3.2,16-Jan-18,13-Feb-18
fluzfluz,https://icobench.com/ico/fluzfluz/,3.9,4.9,3.9,3.6,3.7,18-Jan-18,22-Feb-18
lympo,https://icobench.com/ico/lympo/,4.3,4.9,4.8,4,3.5,23-Jan-18,3-Feb-18
meetngreetme,https://icobench.com/ico/meetngreetme/,4.1,4.9,4.4,3.7,3.5,Unknown,Unknown
shping,https://icobench.com/ico/shping/,4.2,4.9,4.1,3.5,3.2,22-Jan-18,31-Jan-18
socialmedia-market,https://icobench.com/ico/socialmedia-market/,4.1,4.9,3.5,4,3.5,9-Feb-18,16-Mar-18
winding-tree,https://icobench.com/ico/winding-tree/,3.6,4.9,3.5,3.4,2.9,1-Feb-18,15-Feb-18
ab-chain,https://icobench.com/ico/ab-chain/,3.6,4.8,3.8,3.3,3.2,19-Feb-18,31-Mar-18
atfs-project,https://icobench.com/ico/atfs-project/,4,4.8,3.8,4.2,3.4,10-Jan-18,9-Feb-18
blockex,https://icobench.com/ico/blockex/,4.3,4.8,4.5,4,4,13-Jan-18,31-Jan-18
blocklancer,https://icobench.com/ico/blocklancer/,4.2,4.8,4.2,4,3.8,16-Jan-18,16-Feb-18
cargox,https://icobench.com/ico/cargox/,4.3,4.8,3.8,4.1,3.8,23-Jan-18,4-Mar-18
coinlion,https://icobench.com/ico/coinlion/,3.5,4.8,3.8,2.9,2.7,18-Dec-17,25-Feb-18
darico,https://icobench.com/ico/darico/,2.4,4.8,2.1,2,1.6,15-Jan-18,15-Jul-18
etheal,https://icobench.com/ico/etheal/,4.1,4.8,3.8,4.1,4,Unknown,Unknown
ewaiter,https://icobench.com/ico/ewaiter/,4.3,4.8,3,4,4,25-Dec-17,26-Jan-18
fintrux,https://icobench.com/ico/fintrux/,3.5,4.8,3.3,2.9,3.1,7-Feb-18,28-Feb-18
hoqu,https://icobench.com/ico/hoqu/,4.2,4.8,4,4.3,3.9,27-Nov-17,26-Feb-18
iqeon,https://icobench.com/ico/iqeon/,4.1,4.8,4.3,3.2,4,30-Jan-18,13-Mar-18
iungo,https://icobench.com/ico/iungo/,3.5,4.8,3.5,3.2,3.3,7-Dec-17,31-Jan-18
lala-world,https://icobench.com/ico/lala-world/,3.7,4.8,3.3,3.4,3.2,Unknown,Unknown
